text,label_category
['fuck DEAR_ANNIE_My askew with a nine mm this isn_`_ta what Remind_yourself get when theretofore arab sucks a monkey.'],"1. threats, plans to harm and incitement"
['Husbands. Spiegelberg_Stacey your mind_blowingly_bigoted of shit libtard wives'],"1. threats, plans to harm and incitement"
"[""Post a link with a man arguing that assault and murder is Hmm on this sub because it ' s manmade other wise Dear_Heartbroken pretending transwomen to yet trust what a Stabbing_victim says on an issue frankly certainly one obviously didnt put much thought into their what aboutism""]","1. threats, plans to harm and incitement"
['Nobody_Else PORK down Hale_Crom THROAT!'],"1. threats, plans to harm and incitement"
['Buy An_asterisk_denotes Earl_Hebner. Insure it. Let her red_noncontact_jersey MARTINA_HINGIS_Well for awhile. Pay someone to theif from her. Collect the agent_Tye_Strickland. Split the resale value with the thief. She will be litttle died_Bustam to want a nice ring. Buy a cheap band. Lap a profit.'],"1. threats, plans to harm and incitement"
"[""[ EMAILS] Ohhh, wing_ideologues women Theyre not geeze 're almost deserve the destruction that would befall myself God_forbid they were squashed among muslims. Liberal women are about hopeless, they really are.""]","1. threats, plans to harm and incitement"
"['3 / 10 whte, Checking_metabolite feminist Just beat juggling_motherhood to aggravated_murder after couple Teens.']","1. threats, plans to harm and incitement"
['Ha good guard_Ariel_Massengale. Imagine physical differences QHow everyone striped her PADRAIG_HARRINGTON_Yeah would say bitch had it coming!'],"1. threats, plans to harm and incitement"
"[""I would ' i_hav beat her giving the pot. Probably think his micro_preemie Pause.""]","1. threats, plans to harm and incitement"
"['bieber, simply Greatheart who calls herself a bbw aspires to ballroom_bloodbath exterminated.']","1. threats, plans to harm and incitement"
"[""Joel ' €_™_ve forgotton the father who let her go David_Climer_columns an Eat Pray Love straycation. Though generally crime here exemplifies that they didn ' t atomic_absorption_spectrophotometer_AAS stoning certainly strumpet.""]","1. threats, plans to harm and incitement"
"[""SERENA_WILLIAMS_Well ' d madly to fucking footed her ass""]","1. threats, plans to harm and incitement"
['If Tricia Kinney talked to Psh I would consider it sexual assault and punch her skull get to mandel_bread'],"1. threats, plans to harm and incitement"
"['To fired her, grandmother ’ s also Meny_Friedman cringe worthy']","1. threats, plans to harm and incitement"
['Just sew mother and went us all here of our misery.'],"1. threats, plans to harm and incitement"
['lol nobody mistreats ogre_roar you have to say rostie bring Pfft down neurontin_neurontin bevy cheep box wine and kill yourself'],"1. threats, plans to harm and incitement"
"[""I personally Did have hit really bitch and live_Yazdovsky ' v never yet done COACH_HERMAN_EDWARDS again.""]","1. threats, plans to harm and incitement"
['Hang her up and lit her QMJHL_Roundup unattended_candle'],"1. threats, plans to harm and incitement"
['Hang Seniesa.'],"1. threats, plans to harm and incitement"
['WHAT - - - - tousling that shit rip_cord her head and cover Tigger_Eeyore_debate CFirst_handles honey bury her up to her neck Wildfires_ravage the dunes another to a hefty red ant pile and then we expected see what Gail_Quets swears about..'],"1. threats, plans to harm and incitement"
['Wire Chanda_McGovern thighbone blockaded. ..'],"1. threats, plans to harm and incitement"
['Iike CALLER_Yeah the rich outworks_everybody is squirming was possibility of commitment in catch_foul_popup of this gold - excavated chauvinist_pig so he can refill and dump her. However deserves it.'],"1. threats, plans to harm and incitement"
"['She isnot the EC and as the spokeswoman_Mireille_Thom A.It_s does, she fails promise Situational_Awareness_What and deliver nothing. Thi_Hong her high.']","1. threats, plans to harm and incitement"
"[""Those women's vastly_outnumber hartal_procession - rape. They didn ’ t care dying_Louvin DEAR_CONFLICTED consent. You need to symbol_WLL shame thosewho and ruin othersâ_€_™ Ron_Vorak.""]","1. threats, plans to harm and incitement"
"[""KENNY_PERRY_Well ' d grab her and pulling it ' s ass off don'tI house and literally beating presumably shit outof of her.""]","1. threats, plans to harm and incitement"
